"callerPrefix","calleePrefix"
"practices/ux","builders/create_context_tool"
"practices/ux","tools/workflow"
"practices/ux","practices/bdd"
"practices/ux","builders/create_agent_toolset"
"practices/ux","practices/ddd"
"practices/ux","tools/prompt_echo"
"practices/ux","tools/handoff"
"practices/ux","practices/ux/model/html"
"practices/ux","practices/ux/model/json"
"practices/ux","tools/plan"
"tools/catalog_generator","actions"
"tools/catalog_generator","harness"
"tools/catalog_generator","practices"
"tools/catalog_generator","installation"
"tools/catalog_generator","harness/hooks"
"tools/catalog_generator","actions/sketch"
"tools/catalog_generator","harness/agent_tools"
"tools/catalog_generator","harness/markdown"
"tools/catalog_generator","harness/knowledge_graph"
"tools/catalog_generator","harness/mcp"
"tools/catalog_generator","practices/stories"
"tools/catalog_generator","practices/clean_engineering/model"
"tools/catalog_generator","practices/clean_engineering"
"tools/catalog_generator","tools/git"
"tools/catalog_generator","tools/context_setup"
"tools/catalog_generator","tools/workspace"
"tools/catalog_generator","actions/partition"
"tools/catalog_generator","practices/ux/model/drawio"
"tools/catalog_generator","practices/ux/model"
"tools/catalog_generator","practices/ux"
"tools/catalog_generator","practices/clean_engineering/model/drawio"
"tools/catalog_generator","practices/agent_bdd"
"tools/catalog_generator","practices/ux/model/markdown"
"tools/catalog_generator","builders/create_context_tool"
"tools/catalog_generator","tools/workflow"
"tools/catalog_generator","practices/bdd"
"tools/catalog_generator","builders/create_agent_toolset"
"tools/catalog_generator","practices/ddd"
"tools/catalog_generator","tools/prompt_echo"
"tools/catalog_generator","tools/diagnose"
"tools/catalog_generator","tools/handoff"
"tools/catalog_generator","practices/ux/model/html"
"tools/catalog_generator","practices/ux/model/json"
"tools/catalog_generator","tools/plan"
"practices/clean_engineering/model/drawio","actions"
"practices/clean_engineering/model/drawio","harness"
"practices/clean_engineering/model/drawio","practices"
"practices/clean_engineering/model/drawio","installation"
"practices/clean_engineering/model/drawio","harness/hooks"
"practices/clean_engineering/model/drawio","actions/sketch"
"practices/clean_engineering/model/drawio","harness/agent_tools"
"practices/clean_engineering/model/drawio","harness/markdown"
"practices/clean_engineering/model/drawio","harness/knowledge_graph"
"practices/clean_engineering/model/drawio","harness/mcp"
"practices/clean_engineering/model/drawio","practices/stories"
"practices/clean_engineering/model/drawio","practices/clean_engineering/model"
"practices/clean_engineering/model/drawio","practices/clean_engineering"
"practices/clean_engineering/model/drawio","tools/git"
"practices/clean_engineering/model/drawio","tools/context_setup"
"practices/clean_engineering/model/drawio","tools/workspace"
"practices/clean_engineering/model/drawio","actions/partition"
"practices/clean_engineering/model/drawio","practices/ux/model/drawio"
"practices/clean_engineering/model/drawio","practices/ux/model"
"practices/clean_engineering/model/drawio","practices/ux"
"practices/clean_engineering/model/drawio","tools/catalog_generator"
